"Agricultural Animal Care and Use Program (AACUP)  | Office of the Vice Chancellor for Research","http://aacup.illinois.edu"
"Department of Agricultural and Biological Engineering, University of Illinois","http://abe.illinois.edu"
"Home, ACDIS, University of Illinois at Urbana-Champaign","http://acdis.illinois.edu"
"Welcome - The Air Conditioning and Refrigeration Center - Illinois","http://acrc.mechse.illinois.edu"
"University of Illinois Admissions","http://admissions.illinois.edu"
"adsc.illinois.edu","http://adsc.illinois.edu"
"aerospace.illinois.edu","http://aerospace.illinois.edu"
"Air Force ROTC Detachment 190","http://afrotc.illinois.edu"
"Agricultural Education :: College of ACES, University of Illinois","http://aged.illinois.edu"
"Allerton","http://allerton.illinois.edu"
"Illinois Applied Research Institute","http://appliedresearch.illinois.edu"
"University of Illinois Archives | bringing history to life","http://archives.library.illinois.edu"
"The School of Art and Design - University of Illinois at Urbana-Champaign","http://art.illinois.edu"
"Beckman Institute for Advanced Science and Technology, Beckman Institute, University of Illinois","http://beckman.illinois.edu"
"Welcome, Beckman Institute Biomedical Imaging Center, Illinois","http://bic.beckman.illinois.edu"
"Integrated Bioprocessing Research Laboratory | University of Illinois","http://bioenergy.illinois.edu"
"Bioengineering Department","http://bioengineering.illinois.edu"
"IHSI","http://biomedical.illinois.edu"
"About | Center for Biophysics and Quantitative Biology | University of Illinois","http://biophysics.illinois.edu"
"Welcome | Illinois BIS","http://bis.illinois.edu"
"College of Business - University of Illinois","http://business.illinois.edu"
"CCAAS","http://ccaas.illinois.edu"
"Center for Children s Books","http://ccb.lis.illinois.edu"
"Child Care Resource Service | Illinois","http://ccrs.illinois.edu"
"Child Development Lab, University of Illinois at Urbana-Champaign","http://cdl.illinois.edu"
"Home | Civil and Environmental Engineering at Illinois","http://cee.illinois.edu"
"CEEP. University of Illinois","http://ceep.crc.illinois.edu"
"The Center on Health, Aging, and Disability :: The College of Applied Health Sciences :: University of Illinois at Urbana-Champaign","http://chad.illinois.edu"
"CHAMP @ Illinois","http://champ.anthro.illinois.edu"
"Chemistry at Illinois: The Department of Chemistry, University of Illinois at Urbana-Champaign","http://chemistry.illinois.edu"
"GSLIS Center for Informatics Research in Science and Scholarship (CIRSS) University of Illinois","http://cirss.lis.illinois.edu"
"Center for Innovation in Teaching and Learning","http://citl.illinois.edu"
"Corporate Relations | University of Illinois at Urbana-Champaign","http://corporaterelations.illinois.edu"
"Course Explorer","http://courses.illinois.edu"
"Home | CPMI - Illinois","http://cpmi.illinois.edu"
"Campus Research Board Programs - OVCR - University of Illinois","http://crb.research.illinois.edu"
"Creative Services | Public Affairs | University of Illinois at Urbana Champaign","http://creativeservices.illinois.edu"
"Unit for Criticism at the University of Illinois at Urbana Champaign","http://criticism.english.illinois.edu"
"Department of Crop Sciences, University of Illinois","http://cropsci.illinois.edu"
"Department of Computer Science at Illinois","http://cs.illinois.edu"
"The Center for the Study of Reading - University of Illinois","http://csr.education.illinois.edu"
"Welcome to the Center for Innovation in Teaching and Learning at the University of Illinois","http://cte.illinois.edu"
"Dance at Illinois | University of Illinois at Urbana-Champaign","http://dance.illinois.edu"
"Division of General Studies","http://dgs.illinois.edu"
"EaSE - Energy and Sustainability Engineering","http://ease.illinois.edu"
"Home :: ECE ILLINOIS","http://ece.illinois.edu"
"ECRP: Early Childhood Research  and Practice","http://ecrp.illinois.edu"
"College Home | College of Education | U of I","http://education.illinois.edu"
"Welcome to Public Engagement at the University of Illinois at Urbana-Champaign","http://engagement.illinois.edu"
"Engineering at Illinois","http://engineering.illinois.edu"
"Enrollment Management","http://enrollmentmanagement.illinois.edu"
"Home | College of Fine + Applied Arts","http://faa.illinois.edu"
"Faculty Advisory Committee, University of Illinois, Urbana-Champaign Campus","http://fac.illinois.edu"
"Family Resiliency Center | Illinois","http://familyresiliency.illinois.edu"
"University of Illinois Facilities and Services","http://fs.illinois.edu"
"Faculty-Staff Assistance Program - University of Illinois","http://fsap.illinois.edu"
"Department of Food Science and Human Nutrition :: College of ACES, University of Illinois","http://fshn.illinois.edu"
"Short URLs","http://go.illinois.edu"
"Welcome - University Human Resources","http://hr.uillinois.edu"
"Illinois Human Resources - University of Illinois","http://humanresources.illinois.edu"
"Illinois Institutional Animal Care and Use Committee (IACUC) | Office of the Vice Chancellor for Research","http://iacuc.research.illinois.edu"
"Home | ICT - Illinois","http://ict.illinois.edu"
"Electron Paramagnetic Resonance Lab | School of Chemical Sciences | University of Illinois, UC","http://ierc.med.illinois.edu"
"Institute of Government and Public Affairs | Where leaders turn for analysis of crucial issues","http://igpa.uillinois.edu"
"Welcome to I-HEALTH | I-HEALTH","http://ihealth.illinois.edu"
"Home | University of Illinois Urbana-Champaign","http://illinois.edu"
"Illinois International | University of Illinois at Urbana-Champaign","http://international.illinois.edu"
"Office of International Programs :: College of ACES, University of Illinois","http://intlprograms.aces.illinois.edu"
"Home - Illinois State Archaeological Survey","http://isas.illinois.edu"
"Department of Industrial and Enterprise Systems Engineering","http://ise.illinois.edu"
"Beckman Institute Illinois Simulator Laboratory","http://isl.beckman.illinois.edu"
"Home - International Student and Scholar Services - University of Illinois at Urbana-Champaign","http://isss.illinois.edu"
"I-STEM—University of Illinois at Urbana-Champaign","http://istem.illinois.edu"
"Engineering IT Shared Services","http://it.engineering.illinois.edu"
"Information Technology and Communication Services :: College of ACES, University of Illinois at Urbana-Champaign","http://itcs.illinois.edu"
"ITG : The Imaging Technology Group, Beckman Institute, University of Illinois, Urbana-Champaign","http://itg.beckman.illinois.edu"
"Information Trust Institute","http://iti.illinois.edu"
"Krannert Art Museum | University of Illinois at Urbana-Champaign","http://kam.illinois.edu"
"Animal Sciences Collaborative Group  and Laboratory Sites | Department of Animal Sciences :: College of ACES, University of Illinois","http://labs.ansci.illinois.edu"
"College of Law | University of Illinois","http://law.illinois.edu"
"University Library, University of Illinois","http://library.illinois.edu"
"MAE Center Creating a Multi-hazard Approach to Engineering","http://mae.cee.illinois.edu"
"Maize Genetics COOP Stock Center's Home Page","http://maizecoop.cropsci.illinois.edu"
"Mathematics | Illinois","http://math.illinois.edu"
"The School of Molecular and Cellular Biology | University of Illinois Urbana-Champaign","http://mcb.illinois.edu"
"Home Page | Materials Computation Center","http://mcc.illinois.edu"
