"","","","Drake University","https://drake.edu/","missourivalley"
"","","","University of Evansville","https://evansville.edu/","missourivalley"
"","","","Illinois State University - Illinois\xe2\x80\x99 first public university","https://illinoisstate.edu/","missourivalley"
"","","","Indiana State University","https://indstate.edu/","missourivalley"
"","","","Loyola University: Loyola University Chicago","https://luc.edu/","missourivalley"
"","","","Missouri State University","https://missouristate.edu/","missourivalley"
"","","","University of Northern Iowa","https://uni.edu/","missourivalley"
"","","","Southern Illinois University - Your College in Illinois","https://siu.edu/","missourivalley"
"","","","Valparaiso University","https://valpo.edu/","missourivalley"
"","","","University of Chicago","https://uchicago.edu/","noconference"
"","","","MIT - Massachusetts Institute of Technology","https://mit.edu","noconference"
"","","","John's Hopkins University","https://jhu.edu","noconference"
"","","","University of Arizona","https://arizona.edu/","pac12"
"","","","Arizona State University | Ranked #1 university in the US for innovation | ASU","https://asu.edu/","pac12"
"","","","Home | University of California, Berkeley","https://berkeley.edu/","pac12"
"","","","UCLA","http://ucla.edu/","pac12"
"","","","Home | University of Colorado Boulder","https://colorado.edu/","pac12"
"","","","University of Oregon","https://uoregon.edu/","pac12"
"","","","Oregon State","https://oregonstate.edu/","pac12"
"","","","University of Southern California","https://usc.edu/","pac12"
"","","","Standford","https://stanford.edu/","pac12"
"","","","The University of Utah","https://utah.edu/","pac12"
"","","","UW Homepage","http://washington.edu/","pac12"
"","","","Washington State University","https://wsu.edu/","pac12"
"","","","University of Florida","http://ufl.edu/","sec"
"","","","University of Georgia: Birthplace of public higher education in America","https://uga.edu/","sec"
"","","","University of Kentucky","http://uky.edu","sec"
"","","","Mizzou // University of Missouri","https://missouri.edu/","sec"
"","","","University of South Carolina","https://sc.edu/","sec"
"","","","The University of Tennessee, Knoxville","https://utk.edu/","sec"
"","","","Vanderbilt University | Nashville, Tennessee","https://vanderbilt.edu/","sec"
"","","","The University of Alabama","https://www.ua.edu/","sec"
"","","","University of Arkansas","https://uark.edu/","sec"
"","","","Auburn University","http://auburn.edu/","sec"
"","","","Louisiana State University","https://lsu.edu/","sec"
"","","","University of Mississippi","http://olemiss.edu/","sec"
"","","","Mississippi State University","https://msstate.edu/","sec"
"","","","Texas A&amp;M University, College Station, TX","https://tamu.edu/","sec"
"","","","Welcome to | CSU Home | Chicago State University","http://csu.edu/","wac"
"","","","Private Christian University | Grand Canyon University \xe2\x80\x93 Phoenix AZ","https://gcu.edu/","wac"
"","","","University of Missouri-Kansas City","https://umkc.edu/","wac"
"","","","New Mexico State University - BE BOLD. Shape the Future.","https://nmsu.edu/","wac"
"","","","Seattle University","https://seattleu.edu/","wac"
"","","","University of Texas Rio Grande Valley","https://utrgv.edu","wac"
"","","","Welcome to UVU | Utah Valley University | Utah Valley University","https://uvu.edu/","wac"
"","","","California Baptist University","https://calbaptist.edu/","wac"
"","","","California State University, Bakersfield","https://csub.edu","wac"
